,SmoothGrad,baseline_1,baseline_2,baseline_3,baseline_4,baseline_5,baseline_6,baseline_7,baseline_8,baseline_9,baseline_10,baseline_11,baseline_12,baseline_13,baseline_14,baseline_15
0.0,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333
0.1,0.6621621621621622,0.8918918918918919,0.9054054054054054,0.9054054054054054,0.9054054054054054,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.8918918918918919
0.2,0.47297297297297297,0.8513513513513513,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8513513513513513,0.8378378378378378
0.3,0.3918918918918919,0.8648648648648649,0.8513513513513513,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8513513513513513,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649
0.4,0.32432432432432434,0.8378378378378378,0.8513513513513513,0.8513513513513513,0.8513513513513513,0.8378378378378378,0.8513513513513513,0.8378378378378378,0.8378378378378378,0.8513513513513513,0.8378378378378378,0.8513513513513513,0.8513513513513513,0.8513513513513513,0.8378378378378378,0.8243243243243243
0.5,0.21621621621621623,0.8243243243243243,0.8378378378378378,0.8108108108108109,0.8243243243243243,0.8378378378378378,0.8243243243243243,0.8378378378378378,0.8243243243243243,0.8243243243243243,0.8243243243243243,0.8243243243243243,0.8378378378378378,0.8108108108108109,0.8243243243243243,0.8378378378378378
0.6,0.1891891891891892,0.7702702702702703,0.7702702702702703,0.7567567567567568,0.7837837837837838,0.7837837837837838,0.7837837837837838,0.7702702702702703,0.7972972972972973,0.7702702702702703,0.7702702702702703,0.7702702702702703,0.7432432432432432,0.7702702702702703,0.7567567567567568,0.7702702702702703
0.7,0.20270270270270271,0.5540540540540541,0.5675675675675675,0.5675675675675675,0.5540540540540541,0.5540540540540541,0.5540540540540541,0.5540540540540541,0.5540540540540541,0.5540540540540541,0.5675675675675675,0.5540540540540541,0.5540540540540541,0.5405405405405406,0.5405405405405406,0.5540540540540541
0.8,0.20270270270270271,0.35135135135135137,0.33783783783783783,0.35135135135135137,0.33783783783783783,0.32432432432432434,0.35135135135135137,0.35135135135135137,0.33783783783783783,0.33783783783783783,0.36486486486486486,0.33783783783783783,0.33783783783783783,0.35135135135135137,0.33783783783783783,0.35135135135135137
0.9,0.20270270270270271,0.20270270270270271,0.20270270270270271,0.20270270270270271,0.20270270270270271,0.20270270270270271,0.20270270270270271,0.20270270270270271,0.20270270270270271,0.20270270270270271,0.20270270270270271,0.20270270270270271,0.20270270270270271,0.20270270270270271,0.20270270270270271,0.20270270270270271
1.0,0.20270270270270271,0.20270270270270271,0.20270270270270271,0.20270270270270271,0.20270270270270271,0.20270270270270271,0.20270270270270271,0.20270270270270271,0.20270270270270271,0.20270270270270271,0.20270270270270271,0.20270270270270271,0.20270270270270271,0.20270270270270271,0.20270270270270271,0.20270270270270271
